Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Up-modulation of PLC-β2 reduces the number and malignancy of triple-negative breast tumor cells with a CD133(+)/EpCAM(+) phenotype: a promising target for preventing progression of TNBC.","/pubmed/28870198","Brugnoli F, Grassilli S, Lanuti P, Marchisio M, Al-Qassab Y, Vezzali F, Capitani S, Bertagnolo V.","BMC Cancer. 2017 Sep 4;17(1):617. doi: 10.1186/s12885-017-3592-y.","BMC Cancer.  2017","PubMed","citation","PMID:28870198 | PMCID:PMC5584040","pubmed","28870198","create date:2017/09/06 | first author:Brugnoli F",
"Breast cancer: AKT inhibition effective against TNBC.","/pubmed/28857074","Sidaway P.","Nat Rev Clin Oncol. 2017 Nov;14(11):648. doi: 10.1038/nrclinonc.2017.147. Epub 2017 Aug 31. No abstract available. ","Nat Rev Clin Oncol.  2017","PubMed","citation","PMID:28857074","pubmed","28857074","create date:2017/09/01 | first author:Sidaway P",
"Neoadjuvant Interferons: Critical for Effective PD-1-Based Immunotherapy in TNBC.","/pubmed/28848054","Brockwell NK, Owen KL, Zanker D, Spurling A, Rautela J, Duivenvoorden HM, Baschuk N, Caramia F, Loi S, Darcy PK, Lim E, Parker BS.","Cancer Immunol Res. 2017 Oct;5(10):871-884. doi: 10.1158/2326-6066.CIR-17-0150. Epub 2017 Aug 28.","Cancer Immunol Res.  2017","PubMed","citation","PMID:28848054","pubmed","28848054","create date:2017/08/30 | first author:Brockwell NK",
"Recurrent triple-negative breast cancer (TNBC) tissues contain a higher amount of phosphatidylcholine (32:1) than non-recurrent TNBC tissues.","/pubmed/28832678","Hosokawa Y, Masaki N, Takei S, Horikawa M, Matsushita S, Sugiyama E, Ogura H, Shiiya N, Setou M.","PLoS One. 2017 Aug 23;12(8):e0183724. doi: 10.1371/journal.pone.0183724. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28832678 | PMCID:PMC5568295","pubmed","28832678","create date:2017/08/24 | first author:Hosokawa Y",
"MELK: a potential novel therapeutic target for TNBC and other aggressive malignancies.","/pubmed/28764577","Pitner MK, Taliaferro JM, Dalby KN, Bartholomeusz C.","Expert Opin Ther Targets. 2017 Sep;21(9):849-859. doi: 10.1080/14728222.2017.1363183. Epub 2017 Aug 16. Review.","Expert Opin Ther Targets.  2017","PubMed","citation","PMID:28764577","pubmed","28764577","create date:2017/08/03 | first author:Pitner MK",
"STAT3 activation by leptin receptor is essential for TNBC stem cell maintenance.","/pubmed/28729467","Thiagarajan PS, Zheng Q, Bhagrath M, Mulkearns-Hubert EE, Myers MG, Lathia JD, Reizes O.","Endocr Relat Cancer. 2017 Aug;24(8):415-426. doi: 10.1530/ERC-16-0349.","Endocr Relat Cancer.  2017","PubMed","citation","PMID:28729467 | PMCID:PMC5551450","pubmed","28729467","create date:2017/07/22 | first author:Thiagarajan PS",
"Mechanisms of resistance of chemotherapy in early-stage triple negative breast cancer (TNBC).","/pubmed/28668293","Wein L, Loi S.","Breast. 2017 Aug;34 Suppl 1:S27-S30. doi: 10.1016/j.breast.2017.06.023. Epub 2017 Jun 28. Review.","Breast.  2017","PubMed","citation","PMID:28668293","pubmed","28668293","create date:2017/07/03 | first author:Wein L",
"Expression of Jagged1/Notch3 Signaling Pathway and their Relationship with the Tumor Angiogenesis in TNBC.","/pubmed/28625320","Xue S, He L, Zhang X, Zhou J, Li F, Wang X.","Arch Med Res. 2017 Feb;48(2):169-179. doi: 10.1016/j.arcmed.2017.03.014.","Arch Med Res.  2017","PubMed","citation","PMID:28625320","pubmed","28625320","create date:2017/06/20 | first author:Xue S",
"The therapeutic candidate for immune checkpoint inhibitors elucidated by the status of tumor-infiltrating lymphocytes (TILs) and programmed death ligand 1 (PD-L1) expression in triple negative breast cancer (TNBC).","/pubmed/28488168","Tomioka N, Azuma M, Ikarashi M, Yamamoto M, Sato M, Watanabe KI, Yamashiro K, Takahashi M.","Breast Cancer. 2018 Jan;25(1):34-42. doi: 10.1007/s12282-017-0781-0. Epub 2017 May 9.","Breast Cancer.  2018","PubMed","citation","PMID:28488168","pubmed","28488168","create date:2017/05/11 | first author:Tomioka N",
"Aldehyde dehydrogenase 1 (ALDH1) expression is an independent prognostic factor in triple negative breast cancer (TNBC).","/pubmed/28383433","Ma F, Li H, Li Y, Ding X, Wang H, Fan Y, Lin C, Qian H, Xu B.","Medicine (Baltimore). 2017 Apr;96(14):e6561. doi: 10.1097/MD.0000000000006561.","Medicine (Baltimore).  2017","PubMed","citation","PMID:28383433 | PMCID:PMC5411217","pubmed","28383433","create date:2017/04/07 | first author:Ma F",
"Discovery of a potent inhibitor of MELK that inhibits expression of the anti-apoptotic protein Mcl-1 and TNBC cell growth.","/pubmed/28351607","Edupuganti R, Taliaferro JM, Wang Q, Xie X, Cho EJ, Vidhu F, Ren P, Anslyn EV, Bartholomeusz C, Dalby KN.","Bioorg Med Chem. 2017 May 1;25(9):2609-2616. doi: 10.1016/j.bmc.2017.03.018. Epub 2017 Mar 10.","Bioorg Med Chem.  2017","PubMed","citation","PMID:28351607","pubmed","28351607","create date:2017/03/30 | first author:Edupuganti R",
"A Randomized Phase II Neoadjuvant Study of Cisplatin, Paclitaxel With or Without Everolimus in Patients with Stage II/III Triple-Negative Breast Cancer (TNBC): Responses and Long-term Outcome Correlated with Increased Frequency of DNA Damage Response Gene Mutations, TNBC Subtype, AR Status, and Ki67...","/pubmed/28270498","Jovanović B, Mayer IA, Mayer EL, Abramson VG, Bardia A, Sanders ME, Kuba MG, Estrada MV, Beeler JS, Shaver TM, Johnson KC, Sanchez V, Rosenbluth JM, Dillon PM, Forero-Torres A, Chang JC, Meszoely IM, Grau AM, Lehmann BD, Shyr Y, Sheng Q, Chen SC, et al.","Clin Cancer Res. 2017 Aug 1;23(15):4035-4045. doi: 10.1158/1078-0432.CCR-16-3055. Epub 2017 Mar 7.","Clin Cancer Res.  2017","PubMed","citation","PMID:28270498 | PMCID:PMC5540799","pubmed","28270498","create date:2017/03/09 | first author:Jovanović B",
"Neoadjuvant Therapy for Patients with Triple Negative Breast Cancer (TNBC).","/pubmed/28270088","Liedtke C, Rody A.","Rev Recent Clin Trials. 2017;12(2):73-80. doi: 10.2174/1574887112666170307095945.","Rev Recent Clin Trials.  2017","PubMed","citation","PMID:28270088","pubmed","28270088","create date:2017/03/09 | first author:Liedtke C",
"Health-related quality of life in Black breast cancer survivors with and without triple-negative breast cancer (TNBC).","/pubmed/28258353","Vadaparampil ST, Christie J, Donovan KA, Kim J, Augusto B, Kasting ML, Holt CL, Ashing K, Halbert CH, Pal T.","Breast Cancer Res Treat. 2017 Jun;163(2):331-342. doi: 10.1007/s10549-017-4173-0. Epub 2017 Mar 3.","Breast Cancer Res Treat.  2017","PubMed","citation","PMID:28258353 | PMCID:PMC5568024","pubmed","28258353","create date:2017/03/05 | first author:Vadaparampil ST",
"Honokiol nanomicellar formulation produced increased oral bioavailability and anticancer effects in triple negative breast cancer (TNBC).","/pubmed/28249200","Godugu C, Doddapaneni R, Singh M.","Colloids Surf B Biointerfaces. 2017 May 1;153:208-219. doi: 10.1016/j.colsurfb.2017.01.038. Epub 2017 Jan 23.","Colloids Surf B Biointerfaces.  2017","PubMed","citation","PMID:28249200 | PMCID:PMC5745346","pubmed","28249200","create date:2017/03/02 | first author:Godugu C",
"TNBC invasion: downstream of STAT3.","/pubmed/28199968","Jackson JG, Lozano G.","Oncotarget. 2017 Mar 28;8(13):20517-20518. doi: 10.18632/oncotarget.15259. No abstract available. ","Oncotarget.  2017","PubMed","citation","PMID:28199968 | PMCID:PMC5400520","pubmed","28199968","create date:2017/02/16 | first author:Jackson JG",
"INPP4B and PTEN Loss Leads to PI-3,4-P2 Accumulation and Inhibition of PI3K in TNBC.","/pubmed/28196852","Reed DE, Shokat KM.","Mol Cancer Res. 2017 Jun;15(6):765-775. doi: 10.1158/1541-7786.MCR-16-0183. Epub 2017 Feb 14.","Mol Cancer Res.  2017","PubMed","citation","PMID:28196852 | PMCID:PMC5502826","pubmed","28196852","create date:2017/02/16 | first author:Reed DE",
"SOX10 induced Nestin expression regulates cancer stem cell properties of TNBC cells.","/pubmed/28189679","Feng W, Liu S, Zhu R, Li B, Zhu Z, Yang J, Song C.","Biochem Biophys Res Commun. 2017 Apr 1;485(2):522-528. doi: 10.1016/j.bbrc.2017.02.014. Epub 2017 Feb 9.","Biochem Biophys Res Commun.  2017","PubMed","citation","PMID:28189679","pubmed","28189679","create date:2017/02/13 | first author:Feng W",
"Incidence and prognosis of non-metastatic triple negative breast cancer (TNBC) among different races in Southeast Asia.","/pubmed/28168712","Alcantara VS, Lim GH, Lim SH, Sultana R, Lee JA.","J Surg Oncol. 2017 Apr;115(5):523-537. doi: 10.1002/jso.24559. Epub 2017 Feb 7.","J Surg Oncol.  2017","PubMed","citation","PMID:28168712","pubmed","28168712","create date:2017/02/09 | first author:Alcantara VS",
"Dasatinib inhibits c-src phosphorylation and prevents the proliferation of Triple-Negative Breast Cancer (TNBC) cells which overexpress Syndecan-Binding Protein (SDCBP).","/pubmed/28141839","Qian XL, Zhang J, Li PZ, Lang RG, Li WD, Sun H, Liu FF, Guo XJ, Gu F, Fu L.","PLoS One. 2017 Jan 31;12(1):e0171169. doi: 10.1371/journal.pone.0171169. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28141839 | PMCID:PMC5283743","pubmed","28141839","create date:2017/02/01 | first author:Qian XL",
"Immunophenotyping and Transcriptomic Outcomes in PDX-Derived TNBC Tissue.","/pubmed/28039356","Snowden E, Porter W, Hahn F, Ferguson M, Tong F, Parker JS, Middlebrook A, Ghanekar S, Dillmore WS, Blaesius R.","Mol Cancer Res. 2017 Apr;15(4):429-438. doi: 10.1158/1541-7786.MCR-16-0286-T. Epub 2016 Dec 30.","Mol Cancer Res.  2017","PubMed","citation","PMID:28039356","pubmed","28039356","create date:2017/01/01 | first author:Snowden E",
"Liquid biopsy testing in monitoring TNBC.","/pubmed/30047683","Song PY.","MLO Med Lab Obs. 2017 Jan;49(1):26. No abstract available. ","MLO Med Lab Obs.  2017","PubMed","citation","PMID:30047683","pubmed","30047683","create date:2017/01/01 | first author:Song PY",
"Identification and targeting of microRNAs modulating acquired chemotherapy resistance in Triple negative breast cancer (TNBC): A better strategy to combat chemoresistance.","/pubmed/27959276","Das S.","Med Hypotheses. 2016 Nov;96:5-8. doi: 10.1016/j.mehy.2016.09.004. Epub 2016 Sep 15.","Med Hypotheses.  2016","PubMed","citation","PMID:27959276","pubmed","27959276","create date:2016/12/14 | first author:Das S",
"Targeting of PYK2 Synergizes with EGFR Antagonists in Basal-like TNBC and Circumvents HER3-Associated Resistance via the NEDD4-NDRG1 Axis.","/pubmed/27793840","Verma N, Müller AK, Kothari C, Panayotopoulou E, Kedan A, Selitrennik M, Mills GB, Nguyen LK, Shin S, Karn T, Holtrich U, Lev S.","Cancer Res. 2017 Jan 1;77(1):86-99. doi: 10.1158/0008-5472.CAN-16-1797. Epub 2016 Oct 28.","Cancer Res.  2017","PubMed","citation","PMID:27793840","pubmed","27793840","create date:2016/10/30 | first author:Verma N",
"Breast cancer molecular subtypes: from TNBC to QNBC.","/pubmed/27725895","Hon JD, Singh B, Sahin A, Du G, Wang J, Wang VY, Deng FM, Zhang DY, Monaco ME, Lee P.","Am J Cancer Res. 2016 Sep 1;6(9):1864-1872. eCollection 2016. Review.","Am J Cancer Res.  2016","PubMed","citation","PMID:27725895 | PMCID:PMC5043099","pubmed","27725895","create date:2016/10/12 | first author:Hon JD",
"Bursts of Chromosome Changes Drive TNBC.","/pubmed/27599500","[No authors listed]","Cancer Discov. 2016 Oct;6(10):1075. Epub 2016 Sep 6.","Cancer Discov.  2016","PubMed","citation","PMID:27599500","pubmed","27599500","create date:2016/09/08",
"Nomograms for Predicting the Prognostic Value of Pre-Therapeutic CA15-3 and CEA Serum Levels in TNBC Patients.","/pubmed/27561099","Dai D, Chen B, Tang H, Wang B, Zhao Z, Xie X, Wei W.","PLoS One. 2016 Aug 25;11(8):e0161902. doi: 10.1371/journal.pone.0161902. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27561099 | PMCID:PMC4999206","pubmed","27561099","create date:2016/08/26 | first author:Dai D",
"The relationship between nuclear factor (NF)-κB family gene expression and prognosis in triple-negative breast cancer (TNBC) patients receiving adjuvant doxorubicin treatment.","/pubmed/27545642","Kim JY, Jung HH, Ahn S, Bae S, Lee SK, Kim SW, Lee JE, Nam SJ, Ahn JS, Im YH, Park YH.","Sci Rep. 2016 Aug 22;6:31804. doi: 10.1038/srep31804.","Sci Rep.  2016","PubMed","citation","PMID:27545642 | PMCID:PMC4992884","pubmed","27545642","create date:2016/08/23 | first author:Kim JY",
"IL-17E synergizes with EGF and confers in vitro resistance to EGFR-targeted therapies in TNBC cells.","/pubmed/27462789","Merrouche Y, Fabre J, Cure H, Garbar C, Fuselier C, Bastid J, Antonicelli F, Al-Daccak R, Bensussan A, Giustiniani J.","Oncotarget. 2016 Aug 16;7(33):53350-53361. doi: 10.18632/oncotarget.10804.","Oncotarget.  2016","PubMed","citation","PMID:27462789 | PMCID:PMC5288192","pubmed","27462789","create date:2016/07/28 | first author:Merrouche Y",
"Comparisons of Oncologic Outcomes between Triple-Negative Breast Cancer (TNBC) and Non-TNBC among Patients Treated with Breast-Conserving Therapy.","/pubmed/27401651","Kim S, Park HS, Kim JY, Ryu J, Park S, Kim SI.","Yonsei Med J. 2016 Sep;57(5):1192-8. doi: 10.3349/ymj.2016.57.5.1192.","Yonsei Med J.  2016","PubMed","citation","PMID:27401651 | PMCID:PMC4960386","pubmed","27401651","create date:2016/07/13 | first author:Kim S",
"Failure patterns and survival outcomes in triple negative breast cancer (TNBC): a 15 year comparison of 448 non-Hispanic black and white women.","/pubmed/27386241","Prasad S, Efird JT, James SE, Walker PR, Zagar TM, Biswas T.","Springerplus. 2016 Jun 17;5(1):756. doi: 10.1186/s40064-016-2444-6. eCollection 2016.","Springerplus.  2016","PubMed","citation","PMID:27386241 | PMCID:PMC4912515","pubmed","27386241","create date:2016/07/08 | first author:Prasad S",
"How successful is NST in increasing breast-conserving surgery rates in TNBC patients?","/pubmed/27337767","Ollila DW, Golshan M, Boughey JC.","Bull Am Coll Surg. 2016 Apr;101(4):40-2. No abstract available. ","Bull Am Coll Surg.  2016","PubMed","citation","PMID:27337767","pubmed","27337767","create date:2016/06/25 | first author:Ollila DW",
"The length of the bridging chain in ansa-metallocenes influences their antiproliferative activity against triple negative breast cancer cells (TNBC).","/pubmed/27276499","Beauperin M, Top S, Richard MA, Plażuk D, Pigeon P, Toma S, Poláčková V, Jaouen G.","Dalton Trans. 2016 Aug 16;45(33):13126-34. doi: 10.1039/c6dt01640e.","Dalton Trans.  2016","PubMed","citation","PMID:27276499","pubmed","27276499","create date:2016/06/09 | first author:Beauperin M",
"Targeting the untargetable? Nodal expression in TNBC.","/pubmed/27027858","Young ED, Welch DR.","Cell Cycle. 2016 Jun 2;15(11):1400. doi: 10.1080/15384101.2016.1166816. Epub 2016 Mar 30. No abstract available. ","Cell Cycle.  2016","PubMed","citation","PMID:27027858 | PMCID:PMC4934075","pubmed","27027858","create date:2016/03/31 | first author:Young ED",
"Inflammatory TNBC Breast Cancer: Demography and Clinical Outcome in a Large Cohort of Patients With TNBC.","/pubmed/26988771","Biswas T, Efird JT, Prasad S, James SE, Walker PR, Zagar TM.","Clin Breast Cancer. 2016 Jun;16(3):212-6. doi: 10.1016/j.clbc.2016.02.004. Epub 2016 Feb 13.","Clin Breast Cancer.  2016","PubMed","citation","PMID:26988771","pubmed","26988771","create date:2016/03/19 | first author:Biswas T",
"Outcomes of Triple-Negative Breast Cancers (TNBC) Compared with Non-TNBC: Does the Survival Vary for All Stages?","/pubmed/26842691","Agarwal G, Nanda G, Lal P, Mishra A, Agarwal A, Agrawal V, Krishnani N.","World J Surg. 2016 Jun;40(6):1362-72. doi: 10.1007/s00268-016-3422-4.","World J Surg.  2016","PubMed","citation","PMID:26842691","pubmed","26842691","create date:2016/02/05 | first author:Agarwal G",
"Chemotherapy with ceramide in TNBC.","/pubmed/26682260","Legembre P, Micheau O, Ségui B.","Oncoscience. 2015 Aug 21;2(10):817-8. eCollection 2015. No abstract available. ","Oncoscience.  2015","PubMed","citation","PMID:26682260 | PMCID:PMC4671935","pubmed","26682260","create date:2015/12/19 | first author:Legembre P",
"The fate of chemoresistance in triple negative breast cancer (TNBC).","/pubmed/26676166","O'Reilly EA, Gubbins L, Sharma S, Tully R, Guang MH, Weiner-Gorzel K, McCaffrey J, Harrison M, Furlong F, Kell M, McCann A.","BBA Clin. 2015 Mar 12;3:257-75. doi: 10.1016/j.bbacli.2015.03.003. eCollection 2015 Jun. Review.","BBA Clin.  2015","PubMed","citation","PMID:26676166 | PMCID:PMC4661576","pubmed","26676166","create date:2015/12/18 | first author:O'Reilly EA",
"Cabozantinib (XL184) Inhibits Growth and Invasion of Preclinical TNBC Models.","/pubmed/26432786","Sameni M, Tovar EA, Essenburg CJ, Chalasani A, Linklater ES, Borgman A, Cherba DM, Anbalagan A, Winn ME, Graveel CR, Sloane BF.","Clin Cancer Res. 2016 Feb 15;22(4):923-34. doi: 10.1158/1078-0432.CCR-15-0187. Epub 2015 Oct 2.","Clin Cancer Res.  2016","PubMed","citation","PMID:26432786 | PMCID:PMC5500174","pubmed","26432786","create date:2015/10/04 | first author:Sameni M",
"Tumor infiltrating lymphocytes (TILs) improve prognosis in patients with triple negative breast cancer (TNBC).","/pubmed/26405612","Adams S, Goldstein LJ, Sparano JA, Demaria S, Badve SS.","Oncoimmunology. 2015 Jul 27;4(9):e985930. eCollection 2015 Sep.","Oncoimmunology.  2015","PubMed","citation","PMID:26405612 | PMCID:PMC4570112","pubmed","26405612","create date:2015/09/26 | first author:Adams S",
"Anti-Tumor Effects of Peptide Therapeutic and Peptide Vaccine Antibody Co-targeting HER-1 and HER-2 in Esophageal Cancer (EC) and HER-1 and IGF-1R in Triple-Negative Breast Cancer (TNBC).","/pubmed/26350593","Overholser J, Ambegaokar KH, Eze SM, Sanabria-Figueroa E, Nahta R, Bekaii-Saab T, Kaumaya PT.","Vaccines (Basel). 2015 Jul 6;3(3):519-43. doi: 10.3390/vaccines3030519.","Vaccines (Basel).  2015","PubMed","citation","PMID:26350593 | PMCID:PMC4586465","pubmed","26350593","create date:2015/09/10 | first author:Overholser J",
"Cripto-1 in TNBC.","/pubmed/26298547","Castro NP, Salomon DS.","Aging (Albany NY). 2015 Aug;7(8):515-6. No abstract available. ","Aging (Albany NY).  2015","PubMed","citation","PMID:26298547 | PMCID:PMC4586090","pubmed","26298547","create date:2015/08/25 | first author:Castro NP",
"Prediction of Recurrence and Survival for Triple-Negative Breast Cancer (TNBC) by a Protein Signature in Tissue Samples.","/pubmed/26209610","Campone M, Valo I, Jézéquel P, Moreau M, Boissard A, Campion L, Loussouarn D, Verriele V, Coqueret O, Guette C.","Mol Cell Proteomics. 2015 Nov;14(11):2936-46. doi: 10.1074/mcp.M115.048967. Epub 2015 Jul 24.","Mol Cell Proteomics.  2015","PubMed","citation","PMID:26209610 | PMCID:PMC4638037","pubmed","26209610","create date:2015/07/26 | first author:Campone M",
"Correction: Androgen Receptor (AR), E-Cadherin, and Ki-67 as Emerging Targets and Novel Prognostic Markers in Triple-Negative Breast Cancer (TNBC) Patients.","/pubmed/26135303","Ricciardi GR, Adamo B, Ieni A, Licata L, Cardia R, Ferraro G, Franchina T, Tuccari G, Adamo V.","PLoS One. 2015 Jul 2;10(7):e0132647. doi: 10.1371/journal.pone.0132647. eCollection 2015. No abstract available. ","PLoS One.  2015","PubMed","citation","PMID:26135303 | PMCID:PMC4489771","pubmed","26135303","create date:2015/07/03 | first author:Ricciardi GR",
"Predictive Biomarker Profiling of > 6000 Breast Cancer Patients Shows Heterogeneity in TNBC, With Treatment Implications.","/pubmed/26051240","Millis SZ, Gatalica Z, Winkler J, Vranic S, Kimbrough J, Reddy S, O'Shaughnessy JA.","Clin Breast Cancer. 2015 Dec;15(6):473-481.e3. doi: 10.1016/j.clbc.2015.04.008. Epub 2015 Apr 28.","Clin Breast Cancer.  2015","PubMed","citation","PMID:26051240","pubmed","26051240","create date:2015/06/09 | first author:Millis SZ",
"Androgen Receptor (AR), E-Cadherin, and Ki-67 as Emerging Targets and Novel Prognostic Markers in Triple-Negative Breast Cancer (TNBC) Patients.","/pubmed/26039245","Ricciardi GR, Adamo B, Ieni A, Licata L, Cardia R, Ferraro G, Franchina T, Tuccari G, Adamo V.","PLoS One. 2015 Jun 3;10(6):e0128368. doi: 10.1371/journal.pone.0128368. eCollection 2015. Erratum in: PLoS One. 2015;10(7):e0132647. ","PLoS One.  2015","PubMed","citation","PMID:26039245 | PMCID:PMC4454487","pubmed","26039245","create date:2015/06/04 | first author:Ricciardi GR",
"MiR-27a modulates radiosensitivity of triple-negative breast cancer (TNBC) cells by targeting CDC27.","/pubmed/25943633","Ren YQ, Fu F, Han J.","Med Sci Monit. 2015 May 6;21:1297-303. doi: 10.12659/MSM.893974.","Med Sci Monit.  2015","PubMed","citation","PMID:25943633 | PMCID:PMC4548742","pubmed","25943633","create date:2015/05/07 | first author:Ren YQ",
"Antimetastatic Therapies of the Polysulfide Diallyl Trisulfide against Triple-Negative Breast Cancer (TNBC) via Suppressing MMP2/9 by Blocking NF-κB and ERK/MAPK Signaling Pathways.","/pubmed/25927362","Liu Y, Zhu P, Wang Y, Wei Z, Tao L, Zhu Z, Sheng X, Wang S, Ruan J, Liu Z, Cao Y, Shan Y, Sun L, Wang A, Chen W, Lu Y.","PLoS One. 2015 Apr 30;10(4):e0123781. doi: 10.1371/journal.pone.0123781. eCollection 2015.","PLoS One.  2015","PubMed","citation","PMID:25927362 | PMCID:PMC4415928","pubmed","25927362","create date:2015/05/01 | first author:Liu Y",
"Immunotherapy Slows TNBC Progression.","/pubmed/25898834","[No authors listed]","Cancer Discov. 2015 Jun;5(6):570. doi: 10.1158/2159-8290.CD-NB2015-059. Epub 2015 Apr 21.","Cancer Discov.  2015","PubMed","citation","PMID:25898834","pubmed","25898834","create date:2015/04/23",
"The pan-PI3K inhibitor GDC-0941 activates canonical WNT signaling to confer resistance in TNBC cells: resistance reversal with WNT inhibitor.","/pubmed/25857298","Tzeng HE, Yang L, Chen K, Wang Y, Liu YR, Pan SL, Gaur S, Hu S, Yen Y.","Oncotarget. 2015 May 10;6(13):11061-73.","Oncotarget.  2015","PubMed","citation","PMID:25857298 | PMCID:PMC4484439","pubmed","25857298","create date:2015/04/11 | first author:Tzeng HE",
"PEA-15 facilitates EGFR dephosphorylation via ERK sequestration at increased ER-PM contacts in TNBC cells.","/pubmed/25796184","Shin M, Lee KE, Yang EG, Jeon H, Song HK.","FEBS Lett. 2015 Apr 13;589(9):1033-9. doi: 10.1016/j.febslet.2015.03.009. Epub 2015 Mar 18.","FEBS Lett.  2015","PubMed","citation","PMID:25796184","pubmed","25796184","create date:2015/03/23 | first author:Shin M",
"Endophilin A2 Promotes TNBC Cell Invasion and Tumor Metastasis.","/pubmed/25784716","Baldassarre T, Watt K, Truesdell P, Meens J, Schneider MM, Sengupta SK, Craig AW.","Mol Cancer Res. 2015 Jun;13(6):1044-55. doi: 10.1158/1541-7786.MCR-14-0573. Epub 2015 Mar 17.","Mol Cancer Res.  2015","PubMed","citation","PMID:25784716","pubmed","25784716","create date:2015/03/19 | first author:Baldassarre T",
"Overexpression of CD85j in TNBC patients inhibits Cetuximab-mediated NK-cell ADCC but can be restored with CD85j functional blockade.","/pubmed/25726929","Roberti MP, Juliá EP, Rocca YS, Amat M, Bravo AI, Loza J, Coló F, Loza CM, Fabiano V, Maino M, Podhorzer A, Fainboim L, Barrio MM, Mordoh J, Levy EM.","Eur J Immunol. 2015 May;45(5):1560-9. doi: 10.1002/eji.201445353. Epub 2015 Apr 7.","Eur J Immunol.  2015","PubMed","citation","PMID:25726929","pubmed","25726929","create date:2015/03/03 | first author:Roberti MP",
"GHRH-antagonists in TNBC.","/pubmed/25655918","Engel JB.","Oncotarget. 2015 Feb 10;6(4):1898-9. No abstract available. ","Oncotarget.  2015","PubMed","citation","PMID:25655918 | PMCID:PMC4385824","pubmed","25655918","create date:2015/02/07 | first author:Engel JB",
"Limited family structure and triple-negative breast cancer (TNBC) subtype as predictors of BRCA mutations in a genetic counseling cohort of early-onset sporadic breast cancers.","/pubmed/25342642","Zugazagoitia J, Pérez-Segura P, Manzano A, Blanco I, Vega A, Custodio A, Teulé A, Fachal L, Martínez B, González-Sarmiento R, Cruz-Hernández JJ, Chirivella I, Garcés V, Garre P, Romero A, Caldés T, Díaz-Rubio E, de la Hoya M.","Breast Cancer Res Treat. 2014 Nov;148(2):415-21. doi: 10.1007/s10549-014-3167-4. Epub 2014 Oct 24.","Breast Cancer Res Treat.  2014","PubMed","citation","PMID:25342642","pubmed","25342642","create date:2014/10/25 | first author:Zugazagoitia J",
"Insulin activates EGFR by stimulating its interaction with IGF-1R in low-EGFR-expressing TNBC cells.","/pubmed/25341922","Shin M, Yang EG, Song HK, Jeon H.","BMB Rep. 2015 Jun;48(6):342-7.","BMB Rep.  2015","PubMed","citation","PMID:25341922 | PMCID:PMC4578621","pubmed","25341922","create date:2014/10/25 | first author:Shin M",
"Receptors for luteinizing hormone-releasing hormone (GnRH) as therapeutic targets in triple negative breast cancers (TNBC).","/pubmed/25293576","Kwok CW, Treeck O, Buchholz S, Seitz S, Ortmann O, Engel JB.","Target Oncol. 2015 Sep;10(3):365-73. doi: 10.1007/s11523-014-0340-y. Epub 2014 Oct 9.","Target Oncol.  2015","PubMed","citation","PMID:25293576","pubmed","25293576","create date:2014/10/09 | first author:Kwok CW",
"The latest progress in research on triple negative breast cancer (TNBC): risk factors, possible therapeutic targets and prognostic markers.","/pubmed/25276378","Jiao Q, Wu A, Shao G, Peng H, Wang M, Ji S, Liu P, Zhang J.","J Thorac Dis. 2014 Sep;6(9):1329-35. doi: 10.3978/j.issn.2072-1439.2014.08.13. Review.","J Thorac Dis.  2014","PubMed","citation","PMID:25276378 | PMCID:PMC4178098","pubmed","25276378","create date:2014/10/03 | first author:Jiao Q",
"Development of human serine protease-based therapeutics targeting Fn14 and identification of Fn14 as a new target overexpressed in TNBC.","/pubmed/25239934","Zhou H, Mohamedali KA, Gonzalez-Angulo AM, Cao Y, Migliorini M, Cheung LH, LoBello J, Lei X, Qi Y, Hittelman WN, Winkles JA, Tran NL, Rosenblum MG.","Mol Cancer Ther. 2014 Nov;13(11):2688-705. doi: 10.1158/1535-7163.MCT-14-0346. Epub 2014 Sep 19.","Mol Cancer Ther.  2014","PubMed","citation","PMID:25239934 | PMCID:PMC4276724","pubmed","25239934","create date:2014/09/23 | first author:Zhou H",
"Enriched CD44(+)/CD24(-) population drives the aggressive phenotypes presented in triple-negative breast cancer (TNBC).","/pubmed/25130168","Ma F, Li H, Wang H, Shi X, Fan Y, Ding X, Lin C, Zhan Q, Qian H, Xu B.","Cancer Lett. 2014 Oct 28;353(2):153-9. doi: 10.1016/j.canlet.2014.06.022. Epub 2014 Aug 14.","Cancer Lett.  2014","PubMed","citation","PMID:25130168","pubmed","25130168","create date:2014/08/19 | first author:Ma F",
"TNBC vs non-TNBC: A retrospective review of differences in mean age, family history, smoking history, and stage at diagnosis.","/pubmed/25003567","Tariq K, Farhangi A, Rana F.","Clin Adv Hematol Oncol. 2014 Jun;12(6):377-81. Review.","Clin Adv Hematol Oncol.  2014","PubMed","citation","PMID:25003567","pubmed","25003567","create date:2014/07/09 | first author:Tariq K",
